dataset,ir,seed,base_ece,base_brier,base_auc,base_pr_auc,base_f1,smote_ece,smote_brier,smote_auc,smote_pr_auc,smote_f1,smote_iso_ece,smote_iso_brier,smote_iso_auc,smote_iso_pr_auc,smote_iso_f1,smote_prior_ece,smote_prior_brier,smote_prior_auc,smote_prior_pr_auc,smote_prior_f1
phoneme,2.41,0,0.025798374253634057,0.07355057273424108,0.9577054861256529,0.9077082411890546,0.83008,0.040676960637820406,0.07774421841615074,0.957517387935425,0.905586998326112,0.8268022734071193,0.013396336046146009,0.08317930382442049,0.944082899942332,0.8737921619861198,0.8043410852713179,0.025554787860142293,0.07395253873243875,0.957517387935425,0.905586998326112,0.8288752819851757
phoneme,2.41,1,0.023537436683413467,0.07327900025282413,0.9574496791926741,0.9096604419131498,0.8282892640968461,0.03532824209670498,0.07614742355825864,0.9583781146847382,0.9094948153915481,0.829607250755287,0.004784540992331751,0.08147540278333594,0.9474098763605328,0.8804928997365353,0.8084022915340547,0.025321657088792797,0.07380383009886451,0.9583781146847382,0.9094948153915481,0.8256343526350033
phoneme,2.41,2,0.020159511781989305,0.07246672365845998,0.9577000363975778,0.907069991180135,0.8287714831317632,0.039563769440237526,0.07664917809207829,0.9581606209915599,0.906540951731093,0.8285371702637889,0.01144702463389606,0.08065249498813731,0.9494812684588895,0.8792139486672552,0.8003907521979811,0.02241672384859028,0.07362684304701786,0.9581606209915599,0.906540951731093,0.8260869565217391
phoneme,2.41,3,0.023030620128239906,0.07451298363982768,0.9550032467167866,0.9057636734017221,0.8279397628965075,0.03863122138839156,0.07858565843704711,0.9550760749010627,0.9002773171174684,0.8256440982624326,0.012251061809273135,0.08338578122347903,0.9470240190984894,0.8794184300097154,0.7925514537732767,0.030371248440201004,0.07571985073011676,0.9550760749010627,0.9002773171174684,0.8264516129032258
phoneme,2.41,4,0.0217068617009525,0.07320761064658225,0.9567871243733639,0.9040386706181242,0.8284250960307298,0.03891250887119968,0.07774478176535063,0.9563950742385079,0.9054733340560868,0.8301659125188537,0.014759544052290598,0.08273956614465727,0.9457457275783324,0.8724810166467154,0.7971893963589908,0.023992694847416986,0.07458239266288176,0.9563950742385079,0.9054733340560868,0.8234914488544692
phoneme,2.41,5,0.020688301551556126,0.07097882679915475,0.9592360339983763,0.9085806772773318,0.8326947637292464,0.04095820790782313,0.07657630021160586,0.9591096993929995,0.9095708727009824,0.829443447037702,0.0111431352187617,0.08062740402282637,0.9474026100564327,0.8785067191876641,0.817867253853413,0.020773307818658313,0.07265624592408275,0.9591096993929995,0.9095708727009824,0.827140549273021
phoneme,2.41,6,0.02450192538786225,0.07281849156893803,0.9576280339296765,0.9064427573050219,0.8338099777565936,0.04153044537249047,0.0767899476918536,0.9580037348803074,0.9066693125994565,0.8326384752829065,0.011758584697090568,0.08364641244126647,0.9432363755146691,0.8722453691134777,0.8084971464806595,0.026191458128397575,0.07273651768143638,0.9580037348803074,0.9066693125994565,0.8310767246937459
phoneme,2.41,7,0.022779637302567688,0.07498536674739595,0.9558743774924249,0.9007760471642042,0.8267766497461929,0.038576523217629756,0.08045314568774524,0.9550083661583116,0.8957624494806473,0.8186157517899761,0.015316127904132728,0.08125856333981206,0.946994458452264,0.8783959852080019,0.81267302368502,0.028601346530889728,0.07800592878490338,0.9550083661583116,0.8957624494806473,0.8161290322580645
phoneme,2.41,8,0.01861833349902227,0.07214661752821974,0.9576911186607276,0.9071681867798729,0.8336005129849311,0.0402516116625889,0.07794476128878652,0.9565096010997222,0.9030982793406381,0.8243727598566308,0.01685985823569089,0.08398187186877275,0.944864523062919,0.8745615642135203,0.7987538940809968,0.025239265707282785,0.07463435745228125,0.9565096010997222,0.9030982793406381,0.8266925817946226
phoneme,2.41,9,0.02375887013023685,0.07197310842437239,0.9577746811578791,0.9055283091471359,0.8311605723370429,0.041378862808854,0.07958544665949993,0.9559184707468507,0.9017125814569082,0.822262118491921,0.012049965750892759,0.08151291699403446,0.9483400458569846,0.8793933751950198,0.8001247271593389,0.024745669574321907,0.07555313290690759,0.9559184707468507,0.9017125814569082,0.8233034571062741
